2026-07-08 00:39:01,033 | INFO    | gesturesense.core.pipeline | Inference thread stopped
2026-07-08 00:39:01,153 | INFO    | gesturesense.camera.capture | Camera stopped
2026-07-08 00:39:01,154 | INFO    | gesturesense.ui.window | Window closed
2026-07-08 00:39:01,154 | INFO    | gesturesense.core.application | Shutdown complete
2026-07-08 14:39:22,463 | INFO    | gesturesense.app | Configuration loaded from /home/arnavjaiswal/Documents/Fable/gesturesense/gesturesense/config/default_config.yaml
2026-07-08 14:39:23,041 | INFO    | gesturesense.vision.hand_tracker | MediaPipe Tasks backend initialised (model=/home/arnavjaiswal/Documents/Fable/gesturesense/models/hand_landmarker.task, max_hands=2, det=0.60, trk=0.60); model_complexity is not used by this API
2026-07-08 14:39:23,041 | INFO    | gesturesense.core.application | GestureSense starting up
2026-07-08 14:39:23,042 | INFO    | gesturesense.camera.capture | Opening camera 0
2026-07-08 14:39:23,042 | INFO    | gesturesense.camera.capture | Camera thread started (device=0, 1280x720@30, mirror=True)
2026-07-08 14:39:23,043 | INFO    | gesturesense.core.pipeline | Inference thread started
2026-07-08 14:39:23,258 | INFO    | gesturesense.camera.capture | Camera negotiated resolution: 1280x720
2026-07-08 14:39:53,050 | INFO    | gesturesense.core.application | FPS report — render: 60.5, camera: 10.0, inference: 10.0 (0.0 ms)
2026-07-08 14:40:23,061 | INFO    | gesturesense.core.application | FPS report — render: 59.9, camera: 10.0, inference: 10.1 (0.0 ms)
2026-07-08 14:40:53,064 | INFO    | gesturesense.core.application | FPS report — render: 59.9, camera: 10.0, inference: 10.0 (0.0 ms)
2026-07-08 14:41:23,071 | INFO    | gesturesense.core.application | FPS report — render: 60.3, camera: 10.0, inference: 10.0 (0.0 ms)
2026-07-08 14:41:29,374 | INFO    | gesturesense.core.application | Quit requested
2026-07-08 14:41:29,375 | INFO    | gesturesense.core.application | Shutting down…
2026-07-08 14:41:29,381 | INFO    | gesturesense.core.pipeline | Inference thread stopped
2026-07-08 14:41:29,446 | INFO    | gesturesense.camera.capture | Camera stopped
2026-07-08 14:41:29,446 | INFO    | gesturesense.ui.window | Window closed
2026-07-08 14:41:29,447 | INFO    | gesturesense.core.application | Shutdown complete
